"REF_DATE","GEO","DGUID","Toronto Stock Exchange Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1982-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1592.62","","","","2"
"1982-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1496.01","","","","2"
"1982-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1454.81","","","","2"
"1982-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1613.32","","","","2"
"1982-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1658.19","","","","2"
"1982-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1803.46","","","","2"
"1982-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1887.33","","","","2"
"1982-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1958.08","","","","2"
"1983-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2122.56","","","","2"
"1983-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2147.57","","","","2"
"1983-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2170.09","","","","2"
"1983-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2340.81","","","","2"
"1983-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2457.70","","","","2"
"1983-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2466.99","","","","2"
"1983-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2517.77","","","","2"
"1983-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2483.09","","","","2"
"1983-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2598.26","","","","2"
"1983-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2522.82","","","","2"
"1983-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2540.89","","","","2"
"1983-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2557.95","","","","2"
"1984-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2585.73","","","","2"
"1984-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2471.48","","","","2"
"1984-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2436.23","","","","2"
"1984-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2386.36","","","","2"
"1984-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2359.22","","","","2"
"1984-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2289.78","","","","2"
"1984-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2220.84","","","","2"
"1984-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2389.77","","","","2"
"1984-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2407.01","","","","2"
"1984-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2417.55","","","","2"
"1984-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2427.01","","","","2"
"1984-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2403.17","","","","2"
"1985-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2609.10","","","","2"
"1985-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2640.50","","","","2"
"1985-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2652.67","","","","2"
"1985-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2668.80","","","","2"
"1985-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2750.28","","","","2"
"1985-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2766.14","","","","2"
"1985-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2810.01","","","","2"
