Category,OECD
1997-08-01 0:00,101.5529
1997-09-01 0:00,101.5389
1997-10-01 0:00,101.4825
1997-11-01 0:00,101.4302
1997-12-01 0:00,101.3896
1998-01-01 0:00,101.444
1998-02-01 0:00,101.529
1998-03-01 0:00,101.5661
1998-04-01 0:00,101.5757
1998-05-01 0:00,101.5396
1998-06-01 0:00,101.4753
1998-07-01 0:00,101.4203
1998-08-01 0:00,101.3503
1998-09-01 0:00,101.2937
1998-10-01 0:00,101.3004
1998-11-01 0:00,101.4074
1998-12-01 0:00,101.5209
1999-01-01 0:00,101.6754
1999-02-01 0:00,101.7757
1999-03-01 0:00,101.7659
1999-04-01 0:00,101.7366
1999-05-01 0:00,101.755
1999-06-01 0:00,101.8004
1999-07-01 0:00,101.8374
1999-08-01 0:00,101.8792
1999-09-01 0:00,101.9454
1999-10-01 0:00,102.0198
1999-11-01 0:00,102.1217
1999-12-01 0:00,102.2299
2000-01-01 0:00,102.345
2000-02-01 0:00,102.3552
2000-03-01 0:00,102.3053
2000-04-01 0:00,102.2854
2000-05-01 0:00,102.2772
2000-06-01 0:00,102.2446
2000-07-01 0:00,102.2376
2000-08-01 0:00,102.1781
2000-09-01 0:00,102.0481
2000-10-01 0:00,101.9503
2000-11-01 0:00,101.8178
2000-12-01 0:00,101.6067
2001-01-01 0:00,101.4006
2001-02-01 0:00,101.2313
2001-03-01 0:00,101.1342
2001-04-01 0:00,101.0686
2001-05-01 0:00,101.0227
2001-06-01 0:00,100.981
2001-07-01 0:00,100.8892
2001-08-01 0:00,100.6929
2001-09-01 0:00,100.4319
2001-10-01 0:00,100.3056
2001-11-01 0:00,100.3632
2001-12-01 0:00,100.5479
2002-01-01 0:00,100.717
2002-02-01 0:00,100.8439
2002-03-01 0:00,100.952
2002-04-01 0:00,100.9818
2002-05-01 0:00,100.9708
2002-06-01 0:00,100.8564
2002-07-01 0:00,100.7013
2002-08-01 0:00,100.5506
2002-09-01 0:00,100.4034
2002-10-01 0:00,100.2429
2002-11-01 0:00,100.1291
2002-12-01 0:00,99.98538
2003-01-01 0:00,99.78414
2003-02-01 0:00,99.61114
2003-03-01 0:00,99.60121
2003-04-01 0:00,99.84718
2003-05-01 0:00,100.1225
2003-06-01 0:00,100.2903
2003-07-01 0:00,100.359
2003-08-01 0:00,100.3511
2003-09-01 0:00,100.3572
2003-10-01 0:00,100.4277
2003-11-01 0:00,100.5589
2003-12-01 0:00,100.698
2004-01-01 0:00,100.842
2004-02-01 0:00,100.829
2004-03-01 0:00,100.7851
2004-04-01 0:00,100.7462
2004-05-01 0:00,100.7253
2004-06-01 0:00,100.7693
2004-07-01 0:00,100.8258
2004-08-01 0:00,100.8262
2004-09-01 0:00,100.7998
2004-10-01 0:00,100.8017
2004-11-01 0:00,100.8556
2004-12-01 0:00,100.9509
2005-01-01 0:00,101.0281
2005-02-01 0:00,101.0087
2005-03-01 0:00,100.8752
2005-04-01 0:00,100.7291
2005-05-01 0:00,100.673
2005-06-01 0:00,100.7133
2005-07-01 0:00,100.6756
2005-08-01 0:00,100.4693
2005-09-01 0:00,100.2208
2005-10-01 0:00,100.2001
2005-11-01 0:00,100.4276
2005-12-01 0:00,100.7489
2006-01-01 0:00,100.9724
2006-02-01 0:00,101.0197
2006-03-01 0:00,100.9807
2006-04-01 0:00,100.8762
2006-05-01 0:00,100.7057
2006-06-01 0:00,100.6133
2006-07-01 0:00,100.5874
2006-08-01 0:00,100.6137
2006-09-01 0:00,100.7562
2006-10-01 0:00,100.9604
2006-11-01 0:00,101.0731
2006-12-01 0:00,101.1271
2007-01-01 0:00,101.1363
2007-02-01 0:00,101.0737
2007-03-01 0:00,100.9943
2007-04-01 0:00,100.9717
2007-05-01 0:00,100.9909
2007-06-01 0:00,100.9657
2007-07-01 0:00,100.9206
2007-08-01 0:00,100.766
