No.,REF_DATE,GEO,DGUID,Assets and liabilities,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
75,1952-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7691,,,t,0
76,1952-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7785,,,t,0
77,1952-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7796,,,t,0
78,1952-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7817,,,t,0
79,1952-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7918,,,t,0
80,1952-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7959,,,t,0
81,1952-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7985,,,t,0
82,1952-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8102,,,t,0
83,1952-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8144,,,t,0
84,1952-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8115,,,t,0
85,1953-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8079,,,t,0
86,1953-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8098,,,t,0
87,1953-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8204,,,t,0
88,1953-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8370,,,t,0
89,1953-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8392,,,t,0
90,1953-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8329,,,t,0
91,1953-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8335,,,t,0
